,,estimate
A,2015-02-17,0.41
A,2015-05-18,0.39
A,2015-08-17,0.41
A,2015-11-16,0.47
A,2016-02-16,0.43
A,2016-05-16,0.39
A,2016-08-17,0.47
A,2016-11-15,0.52
A,2017-02-14,0.49
A,2017-05-22,0.48
A,2017-08-15,0.52
A,2017-11-20,0.63
A,2018-02-14,0.58
A,2018-05-14,0.65
A,2018-08-14,0.63
A,2018-11-19,0.73
A,2019-02-20,0.73
A,2019-05-14,0.72
A,2019-08-14,0.72
A,2019-11-25,0.86
A,2020-02-18,0.81
A,2020-05-21,0.58
A,2020-08-18,0.66
A,2020-11-23,0.91
A,2021-02-16,0.89
A,2021-05-25,0.82
A,2021-08-17,0.99
A,2021-11-22,1.17
A,2022-02-22,1.17
A,2022-05-24,1.11
A,2022-08-16,1.2
A,2022-11-21,1.39
A,2023-02-28,1.31
A,2023-05-23,1.27
A,2023-08-15,1.37
A,2023-11-20,1.34
A,2024-02-27,1.21
A,2024-05-29,1.19
A,2024-08-21,1.25
A,2024-11-25,1.41
AA,2017-01-24,0.22
AA,2017-04-24,0.55
AA,2017-07-19,0.6
AA,2017-10-18,0.75
AA,2018-01-17,1.23
AA,2018-04-18,0.6
AA,2018-07-18,1.33
AA,2018-10-17,0.25
AA,2019-01-16,0.32
AA,2019-04-17,0.17
AA,2019-07-17,0.34
AA,2019-10-16,0.35
AA,2020-01-15,0.22
AA,2020-04-22,0.29
AA,2020-07-15,0.06
AA,2020-10-14,1.51
AA,2021-01-20,0.15
AA,2021-04-15,0.48
AA,2021-07-15,1.35
AA,2021-10-14,1.85
AA,2022-01-19,2.04
AA,2022-04-20,2.99
AA,2022-07-20,2.6
AA,2022-10-19,0.09
AA,2023-01-18,0.85
AA,2023-04-19,0.05
AA,2023-07-19,0.59
AA,2023-10-18,1.13
AA,2024-01-17,0.99
AA,2024-04-17,0.62
AA,2024-07-17,0.11
AA,2024-10-16,0.23
AA,2025-01-22,0.93
AACG,2015-02-11,
AACG,2015-05-28,
AACG,2015-08-12,
AACG,2015-11-11,
AACG,2016-02-18,
AACG,2016-05-31,
AACG,2016-08-11,
AACG,2016-11-09,
AACG,2017-02-20,
AACG,2017-06-01,
AACG,2017-08-10,
AACG,2017-11-09,
AACG,2018-03-19,
AACG,2018-05-10,
AACG,2018-08-16,
AACG,2018-11-08,
AACG,2019-03-14,
AACG,2019-05-13,
AACG,2019-08-14,
AACG,2019-11-14,
AACG,2020-03-30,
AACG,2020-05-14,
AACG,2020-08-12,
AACG,2020-11-12,
AACG,2021-03-29,
AACG,2021-05-13,
AACG,2021-08-12,
AACG,2021-11-10,
AACG,2022-03-17,
AACG,2022-05-12,
AACG,2022-08-11,
AACG,2022-11-30,
AACG,2023-03-30,
AACG,2023-05-11,
AACG,2023-08-10,
AACG,2023-11-13,
AACG,2024-03-26,
AACG,2024-05-14,
AACG,2024-08-07,
AACG,2024-11-07,
AACT,2024-11-12,
AADI,2018-05-15,0.23
AADI,2018-08-14,0.23
AADI,2018-11-07,0.34
AADI,2019-03-05,0.18
AADI,2019-05-09,0.2
AADI,2019-08-08,0.12
AADI,2019-11-07,0.12
AADI,2020-03-16,0.12
AADI,2020-05-07,0.09
AADI,2020-08-12,0.27
AADI,2020-11-10,0.14
AADI,2021-03-11,0.13
AADI,2021-05-17,0.09
AADI,2021-08-11,0.4
AADI,2021-11-10,0.59
AADI,2022-03-17,
AADI,2022-05-12,0.68
AADI,2022-08-10,0.72
AADI,2022-11-09,0.75
AADI,2023-03-28,0.65
AADI,2023-05-10,0.58
AADI,2023-08-09,0.64
AADI,2023-11-08,0.73
AADI,2024-03-13,0.67
AADI,2024-05-08,0.66
AADI,2024-08-07,0.71
AADI,2024-11-06,0.46
AAL,2015-01-27,1.51
AAL,2015-04-24,1.7
AAL,2015-07-24,2.59
AAL,2015-10-23,2.72
AAL,2016-01-29,1.96
AAL,2016-04-22,1.18
AAL,2016-07-22,1.65
AAL,2016-10-20,1.68
AAL,2017-01-27,0.92
AAL,2017-04-27,0.57
AAL,2017-07-28,1.87
AAL,2017-10-26,1.39
AAL,2018-01-25,0.92
AAL,2018-04-26,0.74
AAL,2018-07-26,1.59
AAL,2018-10-25,1.12
AAL,2019-01-24,1.02
AAL,2019-04-26,0.51
AAL,2019-07-25,1.77
AAL,2019-10-24,1.38
AAL,2020-01-23,1.15
AAL,2020-04-30,2.16
AAL,2020-07-23,6.75
AAL,2020-10-22,5.62
AAL,2021-01-28,3.92
AAL,2021-04-22,4.35
AAL,2021-07-22,1.71
AAL,2021-10-21,1.04
AAL,2022-01-20,1.51
